Current,Voltage(V)
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
0.0,6
0.0,7
0.0,8
0.02,9
0.05,10
0.08,11
0.12,12
0.14,13
0.15,14
0.17,15
0.18,16
0.19,17
0.2,18
0.2,19
0.2,20
0.2,21
0.19,22
0.19,23
0.19,24
0.19,25
0.22,26
0.25,27
0.28,28
0.31,29
0.32,30
0.32,31
0.32,32
0.28,33
0.24,34
0.22,35
0.22,36
0.26,37
0.33,38
0.38,39
0.44,40
0.46,41
0.47,42
0.44,43
0.38,44
0.3,45
0.24,46
0.23,47
0.3,48
0.38,49
0.47,50
0.54,51
0.57,52
0.58,53
0.55,54
0.48,55
0.4,56
0.31,57
0.26,58
0.32,59
0.42,60
0.53,61
0.6,62
0.65,63
0.68,64
0.68,65
0.64,66
0.56,67
0.45,68
0.35,69
0.34,70
0.42,71
0.52,72
0.63,73
0.72,74
0.76,75
0.79,76
0.78,77
0.75,78
0.66,79
0.55,80
0.47,81
0.46,82
0.52,83
0.62,84
0.71,85
0.79,86
0.86,87
0.9,88
0.9,89
0.86,90
0.8,91
