theta,I,theta-mean,I/I_max
74.0,0.4,-7.0,0.014705882
74.8,0.7,-6.2,0.025735294
75.2,0.9,-5.8,0.033088235
75.6,1.2,-5.4,0.044117647
76.0,1.6,-5.0,0.058823529
76.4,2.2,-4.6,0.080882353
76.6,2.8,-4.4,0.102941176
76.8,3.1,-4.2,0.113970588
77.0,3.4,-4.0,0.125
77.2,4.0,-3.8,0.147058824
77.4,5.0,-3.6,0.183823529
77.6,5.6,-3.4,0.205882353
77.8,6.4,-3.2,0.235294118
78.0,7.5,-3.0,0.275735294
78.2,9.1,-2.8,0.334558824
78.8,12.3,-2.2,0.452205882
79.0,14.4,-2.0,0.529411765
79.2,17.4,-1.8,0.639705882
79.8,20.6,-1.2,0.757352941
80.0,22.4,-1.0,0.823529412
80.2,23.2,-0.8,0.852941176
80.4,25.1,-0.6,0.922794118
80.6,26.1,-0.4,0.959558824
81.5,26.6,0.5,0.977941176
82.0,23.5,1.0,0.863970588
82.6,21.4,1.6,0.786764706
82.8,19.7,1.8,0.724264706
83.0,17.6,2.0,0.647058824
83.2,15.6,2.2,0.573529412
83.4,13.8,2.4,0.507352941
83.8,11.6,2.8,0.426470588
84.0,9.9,3.0,0.363970588
84.4,8.2,3.4,0.301470588
84.6,6.9,3.6,0.253676471
85.0,5.3,4.0,0.194852941
85.8,3.0,4.8,0.110294118
86.0,2.5,5.0,0.091911765
86.6,1.7,5.6,0.0625
87.4,1.0,6.4,0.036764706
88.2,0.7,7.2,0.025735294
89.0,0.5,8.0,0.018382353
90.0,0.3,9.0,0.011029412
